Index	Abbreviation	Full_Name	First_Level	Last_Level	Color
53	area_8Av	ventral_periarcuate_area_8A	6	6	#B68CFF
54	dlPFC	dorsolateral_prefrontal_cortex	3	3	#CAA6FF
55	area_8B	area_8B	4	5	#623BFF
56	area_8Bd	dorsal_area_8B	6	6	#C300FF
57	area_8Bm	medial_area_8B	6	6	#5300BF
58	area_8Bs	arcuate_sulcus_area_8B	6	6	#311D80
59	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex	4	4	#9A8CFF
60	area_9	area_9	5	5	#080099
61	area_9d	dorsal_area_9	6	6	#4100E6
62	area_9m	medial_area_9	6	6	#7A73FF
63	area_46d	dorsal_area_46	5	6	#1500B2
64	vlPFC	ventrolateral_prefrontal_cortex	3	3	#000480
65	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex	4	4	#1D2180
66	area_46v/f	ventral_and_fundus_portion_of_area_46	5	5	#2900CC
67	area_46f	area_46_in_fundus_of_the_principal_sulcus	6	6	#5D00FF
68	area_46v	ventral_area_46	6	6	#B43BFF
69	area_12r/l	rostral_and_lateral_area_12	5	5	#3D3980
70	area_12l	lateral_area_12	6	6	#928CFF
71	area_12r	rostral_area_12	6	6	#8CA3FF
72	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex	4	4	#A6A7FF
73	area_45	area_45	5	5	#0800FF
74	area_45a	area_45a	6	6	#001BCC
75	area_45b	area_45b	6	6	#0027B2
76	area_44	area_44	5	6	#1D4180
77	motor	motor_cortex	2	2	#002F80
78	M1/PM	lateral_motor_cortex	3	3	#002B99
79	M1	primary_motor_cortex	4	6	#723BFF
80	PM	premotor_cortex	4	4	#394D80
81	PMd	dorsal_premotor_cortex	5	5	#739AFF
82	PMdc	caudal_dorsal_premotor_cortex	6	6	#A6BFFF
83	PMdr	rostral_dorsal_premotor_cortex	6	6	#0040BF
84	PMv	ventral_premotor_cortex	5	5	#0038D4
85	F4	area_F4_of_ventral_premotor_cortex	6	6	#24579E
86	F5	area_F5_of_ventral_premotor_cortex	6	6	#3355DE
87	SMA/preSMA	medial_supplementary_motor_areas	3	4	#73B0FF
88	preSMA	presupplementary_motor_area	5	6	#2C58BF
89	SMA	supplementary_motor_area	5	6	#1D5080
90	Parietal	Parietal_Lobe	1	1	#004394
91	SI/SII	somatosensory_cortex	2	2	#002EE8
92	SI	primary_somatosensory_cortex	3	4	#3B4BFF
